prenom,genre,signification,origine
TANISHA,f,from names such as TANYA) and the common name suffix sha.,[African American]
TANITH,f,"Derived from Semitic roots meaning ""serpent lady"". This was the name of the Phoenician goddess of love, fertility, the moon and the stars.",[Near Eastern Mythology]
TANNER,m,"From an English surname meaning ""one who tans hides"".",[English]
TANU,f,"Means ""slender"" in Sanskrit.","[Indian, Hindi]"
TANYA,f,"TANYA   f   Russian, EnglishRussian diminutive of TATIANA. It began to be used in the English-speaking world during the 1930s.","[Russian, English]"
TAO,m,"From Chinese 涛 (tāo) meaning ""large waves"", as well as other characters with a similar pronunciation.",[Chinese]
TAPANI,m,form of STEPHEN.,[Finnish]
TAPIWA,f,"Means ""given"" in Shona.","[Southern African, Shona]"
TARA  (2), (2),"Means ""star"" in Sanskrit. Tara is the name of a Hindu astral goddess, the wife of Brhaspati. She was abducted by Soma, a god of the moon, leading to a great war that was only ended when Brahma intervened and released her. This is also the name of a Buddhist deity (a female Buddha).","[Hinduism, Indian, Hindi, Nepali]"
TARANA,f,"Means ""music, song"" in Persian.",[Azerbaijani]
TARAS,m,"form of the Greek name Ταρασιος (Tarasios), which possibly means ""from Taras"". Taras was an Italian city, now called Taranto, which was founded by Greek colonists in the 8th century BC and was named for the Greek mythological figure Taras, a son of Poseidon. Saint Tarasios was an 8th-century bishop of Constantinople. It was also borne by the Ukrainian writer and artist Taras Shevchenko (1814-1861).","[Ukrainian, Russian]"
TARBEN,m,form of TORBJÖRN.,[Danish]
TARIK,m,"form of TARIQ. This name is spelled with a Turkish dotless i, as Tarık.",[Turkish]
TARINA,f,form of TARA  (1).,[English (Rare)]
TARIRO,f,"Means ""hope"" in Shona.","[Southern African, Shona]"
TARMO,m,"Means ""vigour, energy, drive"" in Estonian and Finnish.","[Estonian, Finnish]"
TAROU,m,"From Japanese 太 (ta) meaning ""thick, big"" and 郎 (rou) meaning ""son"". Other kanji combinations are possible.",[Japanese]
TARQUINIUS,m,form of TARQUIN.,[Ancient Roman]
TARYN,f,feminine form of TYRONE. Actors Tyrone Power and Linda Christian created it for their daughter Taryn Power (1953-).,[English]
TASGALL,m,form of ÁSKETILL.,[Scottish]
TASHI,m,"Means ""good fortune"" in Tibetan.","[Tibetan, Bhutanese]"
TASKILL,m,Anglicized form of TASGALL.,[Scottish]
TASOULA,f,TASOULA   f   GreekGreek diminutive of ANASTASIA.,[Greek]
TATE,m,"From an English surname which was derived from the Old English given name Tata, of unknown origin.",[English]
TATIANA,f,"Feminine form of the Roman name Tatianus, a derivative of the Roman name TATIUS. This was the name of a 3rd-century saint who was martyred in Rome under the emperor Alexander Severus. She was especially venerated in Orthodox Christianity, and the name has been common in Russia and Eastern Europe. It was not regularly used in the English-speaking world until the 1980s.","[Russian, Slovak, Bulgarian, Romanian, Polish, Greek, Georgian, Spanish, Portuguese, Italian, Finnish, Swedish, Norwegian, Danish, German, Dutch, English, Ancient Roman]"
TATIANUS,m,derived from TATIUS.,[Ancient Roman]
TATIUS,m,"TATIUS   m   Roman Mythology, Ancient RomanRoman family name of unknown meaning, possibly of Sabine origin. According to Roman legend, Titus Tatius was an 8th-century BC king of the Sabines who came to jointly rule over the Romans and Sabines with the Roman king Romulus.","[Roman Mythology, Ancient Roman]"
TATTON,m,"From a surname which was originally derived from a place name meaning ""Tata's town"" in Old English.",[English (Rare)]
TATUM,f,"From a surname which was originally derived from a place name meaning ""Tata's homestead"" in Old English.",[English (Modern)]
TATYANNA,f,Variant of TATIANA.,[English (Modern)]
TAUFIK,m,form of TAWFIQ.,[Indonesian]
TAVISH,m,"Anglicized form of Thàmhais, vocative case of TÀMHAS. Alternatively it could be taken from the Scottish surname MacTavish, Anglicized form of Mac Tàmhais, meaning ""son of Thomas"".",[Scottish]
TAWNEE,f,Variant of TAWNY.,[English (Rare)]
TAWNY,f,"From the English word, ultimately deriving from Old French tané, which means ""light brown"".",[English (Modern)]
TAYLA,f,feminine form of TAYLOR influenced by similar-sounding names such as KAYLA  (1).,[English (Modern)]
TAYLER,f,Variant of TAYLOR.,[English (Modern)]
TAYMURAZ,m,form of TAHMURAS.,[Ossetian]
TAYYİP,m,form of TAYYIB.,[Turkish]
TEAGAN,m,"From an Irish surname, an Anglicized form of Ó Tadhgáin meaning ""descendant of Tadhgán"". The given name Tadhgán is a diminutive of TADHG.",[English (Modern)]
TEAL,f,From the English word for the type of duck or the greenish-blue colour.,[English (Rare)]
TEÀRLACH,m,form of TOIRDHEALBHACH. This name is also used as a Scottish form of CHARLES.,[Scottish]
TEASAG,f,TEASAG   f   ScottishScottish diminutive of JEAN  (2).,[Scottish]
TECLA,f,form of THEKLA.,"[Italian, Spanish]"
TED,m,"Short form of EDWARD or THEODORE. A famous bearer was the American baseball player Ted Williams (1918-2002), who was born as Theodore.",[English]
TEDORE,m,form of THEODORE.,[Georgian]
TEGAN,f,"Derived from Welsh teg ""fair"".",[Welsh]
TEGWEN,f,"Derived from the Welsh elements teg ""fair"" and gwen ""blessed"".",[Welsh]
TEIGE,m,Anglicized form of TADHG.,[Irish]
TEIJA,f,short form of DOROTHEA.,[Finnish]
TEIMURAZI,m,Variant of TEIMURAZ.,[Georgian]
TEJAL,f,"From Sanskrit तेजस् (tejas) meaning ""brilliance, splendour"".","[Indian, Marathi, Gujarati]"
TEKOA,m,"means either ""stockade"" or ""horn, trumpet"" in Hebrew. In the Old Testament this is the name of a both a city and a son of Ashhur.",[Biblical]
TÉLESPHORE,m,"form of the Greek name Τελεσφορος (Telesphoros) which means ""bringing fulfillment"" or ""bearing fruit"". Saint Telesphorus was a 2nd-century pope and martyr.",[French (Rare)]
TELESPHORUS,m,form of the Greek name Telesphoros (see TÉLESPHORE).,[Ancient Greek (Latinized)]
TELMA,f,form of THELMA or a feminine form of TELMO.,[Portuguese]
TEMAN,m,"Means ""right hand"" or ""south"" in Hebrew. In the Old Testament this is the name of a grandson of Esau for whom the town of Teman in Edom was named.","[Biblical, Biblical Hebrew]"
TEMIR,m,form of Temür (see TIMUR).,[Kazakh]
TEMO,m,Short form of TEIMURAZ.,[Georgian]
TEMPEST,f,"From the English word meaning ""storm"". It appears in the title of William Shakespeare's play 'The Tempest' (1611).",[English (Rare)]
TEMÜJIN,m,form of TEMUJIN.,[Medieval Mongolian]
TEMÜR,m,form of TIMUR.,[Medieval Turkic]
TEMURI,m,form of TIMUR.,[Georgian]
TENDAI,m,"Means ""be thankful"" in Shona.","[Southern African, Shona]"
TENGIZ,m,"Derived from Turkic tengiz meaning ""sea, ocean"".",[Georgian]
TENNYSON,m,"From an English surname which meant ""son of Tenney"", Tenney being a medieval form of DENIS. A notable bearer of the surname was British poet Alfred Lord Tennyson (1809-1892).",[English (Rare)]
TENZIN,m,"From Tibetan བསྟན་འཛིན (bstan-'dzin) which means ""upholder of teachings"". This is one of the given names of the current Dalai Lama, Tenzin Gyatso (1935-).","[Tibetan, Bhutanese]"
TÉO,m,Short form of TEODORO and other names that begin with Teo.,[Portuguese]
TEOBALDO,m,form of THEOBALD.,"[Spanish, Portuguese, Italian]"
TEODÓRA,f,feminine form of THEODORE.,[Hungarian]
TEODORO,m,form of Theodoros (see THEODORE).,"[Italian, Spanish, Portuguese]"
TEODOSIJA,f,form of THEODOSIA.,"[Serbian, Macedonian]"
TEODOSIO,m,form of THEODOSIUS.,"[Italian, Spanish]"
TEÓDULO,m,form of THEODULUS.,[Spanish]
TEÓFILA,f,feminine form of THEOPHILUS.,[Spanish]
TEÓFILO,m,form of THEOPHILUS.,"[Spanish, Portuguese]"
TE'OMA,m,form of THOMAS.,[Ancient Aramaic]
TERA,f,Variant of TARA  (1).,[English]
TERAH,m,"means ""station"" in Hebrew. In the Old Testament Terah is the father of Abraham. He led his people out of Ur and towards Canaan, but died along the way.",[Biblical]
TERCERO,m,"Means ""third"" in Spanish. This name was traditionally given to the third child born.",[Spanish]
TERELL,m,Variant of TERRELL.,[English]
TERENTI,m,form of Terentius (see TERENCE). It is also a Russian variant transcription of TERENTIY.,"[Georgian, Russian]"
TERENTIY,m,form of Terentius (see TERENCE).,[Russian]
TERESA,f,"TERESA   f   Spanish, Portuguese, Italian, Polish, Finnish, German, Swedish, Norwegian, Danish, EnglishCognate of THERESA. Saint Teresa of Ávila was a 16th-century Spanish nun who reformed the Carmelite monasteries and wrote several spiritual books. It was also borne by the beatified Albanian missionary Mother Teresa (1910-1997), who worked with the poor in Calcutta. She adopted the name in honour of the French saint Thérèse de Lisieux, who is the patron of missionaries.","[Spanish, Portuguese, Italian, Polish, Finnish, German, Swedish, Norwegian, Danish, English]"
TERESIA,f,variant of THERESA.,[Swedish]
TERESITA,f,TERESITA   f   SpanishSpanish diminutive of TERESA.,[Spanish]
TEREZA,f,form of THERESA.,"[Czech, Portuguese (Brazilian), Bulgarian, Romanian]"
TEREZIE,f,form of THERESA.,[Czech]
TEREZINHA,f,TEREZINHA   f   Portuguese (Brazilian)Portuguese diminutive of TEREZA.,[Portuguese (Brazilian)]
TERHO,m,"Means ""acorn"" in Finnish.",[Finnish]
TERJE  (1), (1),variant of TORGEIR.,[Norwegian]
TERMINUS,m,"Means ""limit, boundary, end"" in Latin. This was the name of the Roman god of boundaries.",[Roman Mythology]
TERPSICHORE,f,"Means ""enjoying the dance"" from Greek τερψις (terpsis) ""delight"" and χορος (choros) ""dance"". In Greek mythology she was the goddess of dance and dramatic chorus, one of the nine Muses.",[Greek Mythology]
TERRANCE,m,Variant of TERENCE.,[English]
TERRENCE,m,Variant of TERENCE.,[English]
TERRIE,f,feminine form of TERRY  (1) or a diminutive of THERESA.,[English]
TERRY  (2), (2),"TERRY  (2)   m & f   EnglishDiminutive of TERENCE or THERESA. A famous bearer was Terry Fox (1958-1981), a young man with an artificial leg who attempted to run across Canada to raise money for cancer research. He died of the disease before crossing the country.",[English]
TERTTU,f,"Means ""bunch, cluster"" in Finnish.",[Finnish]
TESNI,f,"Means ""warmth from the sun"" in Welsh.",[Welsh]
TESSA,f,TESSA   f   EnglishDiminutive of THERESA.,[English]
TESSIE,f,TESSIE   f   EnglishDiminutive of THERESA.,[English]
TETTY,f,TETTY   f   English (Archaic)Diminutive of ELIZABETH.,[English (Archaic)]
TEUNA,f,short form of ANTONIA.,[Dutch]
TEUTA,f,"derived from an Illyrian word or title meaning ""queen"". This was the name of a 3rd-century BC Illyrian queen.",[Albanian]
TEUVO,m,short form of THEODORE.,[Finnish]
TEVYE,m,form of TOBIAH.,[Yiddish]
TEX,m,"From a nickname which denoted a person who came from the state of Texas. A famous bearer was the American animator Tex Avery (1908-1980), real name Frederick, who was born in Texas.",[English]
THABO,m,"Means ""joy"" in Tswana.","[Southern African, Tswana]"
THADDAEUS,m,Form of THADDEUS used in most English versions of the New Testament.,[Biblical]
THADDEUS,m,"From Θαδδαιος (Thaddaios), the Greek form of the Aramaic name Thaddai. It is possibly derived from a word meaning ""heart"", but it may in fact be an Aramaic form of a Greek name such as Θεοδωρος (see THEODORE). In the Gospel of Matthew, Thaddaeus is listed as one of the twelve apostles, though elsewhere in the New Testament his name is omitted and Jude's appears instead. It is likely that the two names refer to the same person.","[English, Biblical, Biblical Latin]"
THAÏS,f,"means ""bandage"" in Greek. This was the name of a companion of Alexander the Great. It was also borne by a 4th-century saint from Alexandria, a wealthy socialite who became a Christian convert. She has been a popular subject of art and literature, including an 1891 novel by Anatole France and an 1894 opera by Jules Massenet.",[Ancient Greek]
THAKSIN,m,"Means ""south, right hand"" in Thai.",[Thai]
THALES,m,"Derived from Greek θαλλω (thallo) meaning ""to blossom"". This was the name of a 6th-century BC Greek philosopher and mathematician.",[Ancient Greek]
THALITA,f,Variant of TALITA.,[Portuguese (Brazilian)]
THAMARAI,f,"Means ""lotus"" in Tamil.",[Tamil]
THAMIR,m,"Means ""fruitful"" in Arabic.",[Arabic]
THANASIS,m,short form of ATHANASIOS.,[Greek]
THANCMAR,m,form of TAMMARO.,[Ancient Germanic]
THANE,m,"From the Scottish and English noble title, which was originally from Old English thegn.",[English (Rare)]
THANKARAT,m,form of TANCRED.,[Ancient Germanic]
THANOS,m,THANOS   m   GreekDiminutive of ATHANASIOS.,[Greek]
THECLA,f,form of THEKLA.,"[Dutch (Rare), Late Greek (Latinized)]"
THEI,m,short form of THEODOOR.,[Limburgish]
THEKLA,f,"From the ancient Greek name Θεοκλεια (Theokleia), which meant ""glory of God"" from the Greek elements θεος (theos) meaning ""god"" and κλεος (kleos) meaning ""glory"". This was the name of a 1st-century saint, appearing (as Θεκλα) in the apocryphal 'Acts of Paul and Thecla'. The story tells how Thecla listens to Paul speak about the virtues of chastity and decides to remain a virgin, angering both her mother and her suitor.","[German (Rare), Greek (Rare), Late Greek]"
THELONIUS,m,form of Tielo (see TILO). A famous bearer was jazz musician Thelonious Monk (1917-1982).,[Various]
THEMBA,m,"Means ""trust"" in Zulu.","[Southern African, Zulu]"
THEMISTOCLES,m,"form of the Greek name Θεμιστοκλης (Themistokles) meaning ""glory of the law"", from θεμις (themis) ""law of nature, divine law"" (genitive θεμιστος) and κλεος (kleos) ""glory"". This was the name of an Athenian statesman and general who was victorious over the Persians in the Battle of Salamis.",[Ancient Greek (Latinized)]
THEMISTOKLIS,m,form of THEMISTOCLES.,[Greek]
THEO,m,"Short form of THEODORE, THEOBALD, and other names that begin with Theo.","[English, Dutch]"
THEOCRITUS,m,"form of Θεοκριτος (Theokritos), a Greek name which meant ""judge of god"" from θεος (theos) ""god"" and κριτης (krites) ""judge, critic"". This was the name of a 3rd-century BC Greek poet.",[Ancient Greek (Latinized)]
THEODOAR,m,"THEODOAR   m   Ancient GermanicGermanic name composed of the elements theud ""people"" and war ""vigilant, cautious"".",[Ancient Germanic]
THEODOOR,m,form of THEODORE.,[Dutch]
THEÓDÓRA,f,form of THEODORE.,[Icelandic]
THÉODORE,m,form of THEODORE.,[French]
THEODORIC,m,"From a Germanic name meaning ""ruler of the people"", derived from the elements theud ""people"" and ric ""power, ruler"". It was notably borne by Theodoric the Great, a 6th-century king of the Ostrogoths who eventually became the ruler of Italy. By Theodoric's time the Ostrogoths were partially Romanized and his name was regularly recorded as Theodoricus. The Gothic original may have been Þiudreiks.",[History]
THEODOROS,m,form of THEODORE.,"[Greek, Ancient Greek]"
THEODOSIA,f,Feminine form of THEODOSIUS.,"[Ancient Greek, Greek]"
THEODOSIUS,m,"form of the Greek name Θεοδοσιος (Theodosios) which meant ""giving to god"", derived from θεος (theos) ""god"" and δοσις (dosis) ""giving"". Saint Theodosius of Palestine was a monk who founded a monastery near Bethlehem in the 5th century. This also was the name of emperors of the Eastern Roman and Byzantine Empires.",[Ancient Greek (Latinized)]
THEODOTUS,m,"form of the Greek name Θεοδοτος (Theodotos) which meant ""given to god"" from θεος (theos) ""god"" and δοτος (dotos) ""given"". This name belonged to several early saints and martyrs.",[Ancient Greek (Latinized)]
THEODULUS,m,"form of the Greek name Θεοδουλος (Theodoulos) which meant ""slave of god"", derived from θεος (theos) ""god"" and δουλος (doulos) ""slave"". This name was borne by several early saints.",[Ancient Greek (Latinized)]
THEOFANIS,m,form of THEOPHANES.,[Greek]
THEOFYLAKTOS,m,form of THEOPHYLAKTOS.,[Greek]
THEOKRITOS,m,form of THEOCRITUS.,[Ancient Greek]
THEOPHANIA,f,Feminine form of THEOPHANES.,[Ancient Greek]
THEOPHILA,f,Feminine form of THEOPHILUS.,[Ancient Greek]
TANEKA,f,Variant of TANIKA.,[African American (Rare)]
TANER,m,"Means ""born at dawn"" in Turkish.",[Turkish]
TANGAROA,m,"TANGAROA   m   Polynesian MythologyMeaning unknown. In Polynesian mythology he was the god of the sea, the son of Rangi and Papa. He separated his parents' embrace, creating the earth and the sky.",[Polynesian Mythology]
TANIA,f,Variant of TANYA.,"[English, Italian]"
TANIKA,f,"TANIKA   f   African AmericanInvented name, probably modeled on TAMIKA and influenced by TANYA.",[African American]
TANIS,f,form of TANITH.,[Near Eastern Mythology (Hellenized)]
TANIT,f,Variant of TANITH.,[Near Eastern Mythology]
TANJA,f,Variant of TANYA.,"[German, Finnish, Serbian, Croatian, Slovene, Macedonian, Danish, Swedish, Norwegian]"
TANSY,f,"From the name of the flower, which is derived via Old French from Late Latin tanacita.",[English (Rare)]
TANVI,f,"Means ""slender woman"" in Sanskrit.","[Indian, Hindi, Marathi]"
TANZI,f,Variant of TANSY.,[English (Rare)]
TAONGA,f,"Means ""we are thankful"" in Tumbuka.","[Southern African, Tumbuka]"
TAPIO,m,"TAPIO   m   Finnish, Finnish MythologyMeaning unknown. Tapio was the Finnish god of forests, animals, and hunting.","[Finnish, Finnish Mythology]"
TARA  (1), (1),"Anglicized form of the Irish place name Teamhair, which possibly means ""elevated place"" in Gaelic. This was the name of the sacred hill near Dublin where the Irish high kings resided. It was popularized as a given name by the novel 'Gone with the Wind' (1936) and the subsequent movie adaptation (1939), in which it is the name of the O'Hara plantation.",[English]
TARAH,f,Variant of TARA  (1).,[English (Modern)]
TARANIS,m,"Derived from Celtic taran meaning ""thunder"", cognate with Þórr (see THOR). This was the name of the Gaulish thunder god, who was often identified with the Roman god Jupiter.",[Celtic Mythology]
